spend,video views,impressions,clicks,purchases,channel,source,campaign,date
151230.4719956623,716.0,717.0,1.0,6.0,Paid Social,Facebook,Profound intangible policy,2023-06-13
168285.30119591526,631.0,514.0,6.0,5.0,Organic,StackAdapt,Business-focused zero tolerance,2023-11-30
254327.3765810581,547.0,226.0,7.0,5.0,Programmatic,Google Display & Video360,Centralized modular throughput,2023-07-14
176317.62129993984,367.0,396.0,3.0,3.0,Programmatic,StackAdapt,Cross-platform static hierarchy,2023-03-25
82725.26747969737,426.0,467.0,3.0,1.0,Paid Search,Amazon Ad Server,Cross-platform static hierarchy,2023-01-27
33356.541443726775,659.0,360.0,8.0,1.0,Programmatic,StackAdapt,persistent 24/7 attitude,2023-01-22
170432.80478456803,574.0,216.0,10.0,6.0,Programmatic,Google Display & Video360,Cross-platform static hierarchy,2023-08-18
160479.27413756927,133.0,115.0,2.0,0.0,Paid Social,StackAdapt,Automated uniform software,2023-10-08
91580.53601449216,288.0,361.0,7.0,4.0,Paid Search,Amazon Ad Server,Business-focused zero tolerance,2023-03-20
181081.3827758002,533.0,687.0,2.0,6.0,Organic,Amazon Ad Server,Networked value-added time-frame,2023-02-17
153373.1566025995,444.0,235.0,10.0,6.0,Organic,StackAdapt,Integraded dedicated contingency,2023-11-06
183740.38283945585,201.0,477.0,0.0,4.0,Programmatic,Amazon Ad Server,Integraded dedicated contingency,2023-10-09
54682.27318559514,759.0,365.0,4.0,5.0,Organic,Google Display & Video360,Profound intangible policy,2023-01-06
257052.6080000106,550.0,657.0,2.0,3.0,Organic,Facebook,persistent 24/7 attitude,2023-06-06
41344.19293022929,669.0,24.0,4.0,5.0,Paid Social,Bing Ads,Profound intangible policy,2023-09-15
233582.72819335765,142.0,10.0,4.0,3.0,Paid Social,StackAdapt,persistent 24/7 attitude,2023-04-27
202323.08185631936,272.0,756.0,7.0,2.0,Organic,Facebook,Business-focused zero tolerance,2023-09-02
130310.86867980198,99.0,196.0,4.0,2.0,Organic,StackAdapt,Networked value-added time-frame,2023-07-09
18799.40825388503,313.0,483.0,1.0,4.0,Programmatic,Facebook,Cross-platform static hierarchy,2023-11-25
116590.20715020469,240.0,267.0,5.0,2.0,Organic,Google Display & Video360,Networked value-added time-frame,2023-07-30
125264.31621492728,34.0,652.0,6.0,1.0,Programmatic,Facebook,Cross-platform static hierarchy,2023-06-03
273633.7106097796,285.0,87.0,1.0,3.0,Paid Social,Google Display & Video360,persistent 24/7 attitude,2023-08-07
260246.61425386122,454.0,771.0,1.0,2.0,Paid Social,Google Search Ads 360,persistent 24/7 attitude,2023-11-02
242800.23201048508,769.0,393.0,6.0,0.0,Programmatic,Facebook,Automated uniform software,2023-05-14
7779.697691233931,244.0,392.0,4.0,3.0,Programmatic,Bing Ads,Integraded dedicated contingency,2023-03-14
219400.11306566637,706.0,422.0,0.0,5.0,Paid Search,Amazon Ad Server,persistent 24/7 attitude,2023-11-26
73131.45933869631,301.0,114.0,4.0,0.0,Programmatic,Google Display & Video360,Cross-platform static hierarchy,2023-02-27
172038.84338882013,557.0,115.0,10.0,1.0,Paid Search,StackAdapt,Integraded dedicated contingency,2023-11-07
